,Day,Date,workoutActivityType,duration,durationUnit,activeEnergyBurned,basalEnergyBurned,hr_mean,hr_peak
0,Saturday,2020-02-01,Walking,25.68212516109149,min,121.745,61.6432,92.5589,92.5589
1,Friday,2020-08-21,Walking,14.29964059193929,min,74.7307,34.2241,155.0,159.0
2,Friday,2020-09-04,Walking,11.41089394291242,min,73.306,27.4886,147.5,150.0
3,Friday,2020-09-11,Walking,43.08552151521047,min,265.875,105.068,136.0,154.0
4,Tuesday,2020-09-22,Walking,33.8191522816817,min,235.235,82.4981,,
5,Wednesday,2020-10-21,Walking,58.35922898054123,min,271.934,142.382,142.20663302752294,186.0
6,Tuesday,2020-11-03,Walking,16.69548663695653,min,113.531,41.9476,140.1343448275862,168.0
7,Tuesday,2020-11-03,Walking,33.10012272198995,min,139.971,83.3234,115.66856774193549,124.0
8,Sunday,2021-01-31,Walking,18.58062898516655,min,152.447,46.5608,144.2643440860215,168.0
9,Thursday,2021-03-04,Walking,12.93991304834684,min,169.269,32.5008,190.253,193.884
10,Tuesday,2021-03-09,Walking,9.395614198843639,min,174.443,23.6121,183.747,183.747
11,Wednesday,2021-03-10,Walking,36.3511901418368,min,311.39,92.3629,155.4620294117647,169.0
12,Thursday,2021-03-11,Cycling,10.8028894007206,min,171.149,27.108,174.919,174.919
13,Monday,2021-03-15,Cycling,10.67803428371747,min,173.344,26.9369,178.124,178.124
14,Tuesday,2021-03-16,Walking,15.59643248319626,min,268.673,39.5058,176.7785,181.351
15,Wednesday,2021-03-17,Walking,23.48442481557528,min,369.385,59.2679,166.704,179.774
16,Tuesday,2021-03-23,Walking,11.58641088406245,min,214.889,29.2596,178.9715,188.389
17,Thursday,2021-03-25,Walking,12.10710046688716,min,241.341,30.4646,188.2615,188.403
18,Thursday,2021-03-25,Walking,10.21207201679548,min,71.5096,25.5028,154.277,154.277
19,Monday,2021-03-29,Walking,9.634469584623973,min,169.797,23.9932,182.269,182.269
20,Monday,2021-03-29,Walking,25.27313685019811,min,106.911,63.7984,134.47666666666666,161.647
21,Tuesday,2021-03-30,Walking,10.11304923494657,min,202.408,25.4548,182.735,182.735
22,Monday,2021-04-12,Cycling,13.86655434966087,min,216.133,35.0175,164.862,182.273
23,Tuesday,2021-04-13,Cycling,8.08512008190155,min,121.236,20.3268,168.385,168.385
24,Saturday,2021-04-17,Walking,18.04876783291499,min,185.212,45.2841,161.67687878787876,172.0
25,Wednesday,2021-04-21,Walking,9.337612400452295,min,171.1,23.467,183.181,183.181
26,Saturday,2021-04-24,Walking,12.24970048467318,min,142.472,30.8079,140.7165,162.607
27,Monday,2021-04-26,Walking,4.888593751192093,min,99.1893,12.1669,192.09259259259258,198.0
28,Wednesday,2021-04-28,Walking,6.90481751759847,min,115.671,17.314,179.984,179.984
29,Friday,2021-04-30,Walking,11.13045563300451,min,146.171,27.7866,165.785,165.785
30,Tuesday,2021-05-04,Cycling,16.65319265127182,min,270.758,42.1639,176.6455,177.227
31,Friday,2021-05-07,Walking,5.964476033051809,min,19.9505,14.6649,118.795,118.795
32,Friday,2021-06-04,TraditionalStrengthTraining,44.67624575098355,min,514.635,112.567,133.91840000000002,141.576
33,Friday,2021-06-04,Walking,12.33431553443273,min,237.274,31.0539,174.8555,177.046
34,Wednesday,2021-06-09,TraditionalStrengthTraining,34.71122270027796,min,404.597,86.5722,130.40975,135.957
35,Wednesday,2021-06-09,Walking,11.14835161566734,min,233.722,28.0535,180.401,180.401
36,Friday,2021-06-11,TraditionalStrengthTraining,12.61481233239174,min,152.879,31.828,139.983,148.901
37,Friday,2021-06-11,Walking,18.44329513311386,min,313.086,46.6083,166.3345,170.632
38,Saturday,2021-06-12,TraditionalStrengthTraining,53.03530658284823,min,703.592,134.397,145.25242857142857,165.0
39,Wednesday,2021-06-16,TraditionalStrengthTraining,32.64442026615143,min,404.495,82.149,135.40200000000002,146.231
40,Wednesday,2021-06-16,Walking,12.4420723815759,min,255.248,31.3249,179.198,183.227
41,Thursday,2021-06-17,Walking,7.322369982798894,min,28.371,18.157,99.5521,99.5521
42,Thursday,2021-06-17,Walking,14.74059576789538,min,99.5382,37.044,110.985,113.032
43,Friday,2021-06-18,TraditionalStrengthTraining,48.56033435066541,min,601.122,121.401,133.3028,143.528
44,Friday,2021-06-18,Walking,3.198969548940659,min,61.6878,7.95155,180.2972972972973,198.0
45,Wednesday,2021-06-23,TraditionalStrengthTraining,61.30297339955965,min,666.024,152.919,126.66116666666669,138.644
46,Wednesday,2021-06-23,Walking,4.661784183979035,min,93.8183,11.5249,180.05357142857142,191.0
47,Thursday,2021-06-24,TraditionalStrengthTraining,43.60202830036481,min,410.377,109.413,121.78099999999999,133.753
48,Thursday,2021-06-24,Cycling,6.972830432653427,min,100.542,17.5552,148.5385,151.0
49,Thursday,2021-07-01,TraditionalStrengthTraining,72.47829480171204,min,926.95,179.047,136.668,154.15
